,Datetime,Id,Link,Text,Retweets,Hashtags,Username,Geolocation
0,2020-06-30 09:16:15+00:00,1277893702644404224,https://twitter.com/GheaNoviar/status/1277893702644404224,"The Duke of Wellington statue, Glasgow Scotland ",0,,GheaNoviar,
1,2020-06-29 16:32:01+00:00,1277640979571519489,https://twitter.com/AnarchistFed/status/1277640979571519489,"Except this is the Duke of Wellington statue in Glasgow and it's a long tradition for drunk people putting cones on his head, coz working class scots are hilarious. Fuck off with you bullshit begging for RTs.",0,,AnarchistFed,
2,2020-06-29 13:24:58+00:00,1277593904641191938,https://twitter.com/ArdvreckSchool/status/1277593904641191938,"From marvellous masterpieces to making headlines! Charlie made the front page of @scottishfarmer. For his recreation of a famous artwork, Charlie remembered a trip when he saw the Duke of Wellington statue in Glasgow. #artinaction #learnbydoing #artineverything #prepschool",0,#artinaction #learnbydoing #artineverything #prepschool,ArdvreckSchool,
3,2020-06-28 15:41:44+00:00,1277265937675300866,https://twitter.com/Katie6747/status/1277265937675300866,Traditionally this statue of 1st Duke of Wellington is always wearing an orange cone! He wouldn't be the same without it ,0,,Katie6747,
4,2020-06-27 19:11:20+00:00,1276956294994432000,https://twitter.com/ScavengerEthic/status/1276956294994432000,I strongly recommend nobody try this on the Duke of Wellington statue in Glasgow.,0,,ScavengerEthic,
5,2020-06-26 19:19:07+00:00,1276595866913198080,https://twitter.com/_roseferguson_/status/1276595866913198080,Alternative suggestion for the fate of the duke of wellington statue: we remove the duke but keep the horse and Glaswegians take hourly shifts sitting on the horse with a traffic cone on their head as a civic duty. #PeopleMakeGlasgow,0,#PeopleMakeGlasgow,_roseferguson_,
6,2020-06-26 18:21:10+00:00,1276581283183955970,https://twitter.com/damianmccoy/status/1276581283183955970,"The Duke of Wellington Statue, complete with the obligatory traffic cone is one of Glasgow’s most iconic sights . . . #glasgow #glasgowlife #glasgowcity #dukeofwellington #statue #ilovegla #iloveglasgow… https://www.instagram.com/p/CB6H0O3nNMr/?igshid=8rubsn7wt7ac",1,#glasgow #glasgowlife #glasgowcity #dukeofwellington #statue #ilovegla #iloveglasgow,damianmccoy,
7,2020-06-26 17:40:23+00:00,1276571020586090498,https://twitter.com/Aldershot_Past/status/1276571020586090498,Duke of Wellington statue at #Aldershot. Allegedly pointing the way to the training areas for the troops...,1,#Aldershot,Aldershot_Past,
8,2020-06-26 13:49:48+00:00,1276512991610011648,https://twitter.com/FrankMcKeon3/status/1276512991610011648,"Statue of hated Duke of Wellington with #BLM cone in Glasgow, Scotland ",0,#BLM,FrankMcKeon3,
9,2020-06-25 22:08:40+00:00,1276276149442744327,https://twitter.com/rememvictorjara/status/1276276149442744327,There's a reason Ireland has a widely known and rowdy joyous song about the time the Duke of Wellington's statue was blown up ,1,,rememvictorjara,
10,2020-06-25 14:20:07+00:00,1276158234773073921,https://twitter.com/welfordwrites/status/1276158234773073921,"The statue of Achilles, Hyde Park, London. This bronze of a near-naked warrior (who has nothing to do with Achilles) would seem to have been a strange tribute to the Duke of Wellington from the women of Britain. Click the link! http://dld.bz/fKXKJ",0,,welfordwrites,
