,Datetime,Text,Username,Geolocation
0,2019-10-27 20:04:31+00:00,Listening to The Art of Remembering by @bridgetminamore. The bit where she's in Bristol with @Vanessa_Kisuule under the Colston statue makes me sick. I'm not even black and the city's slavery fetishism is one of the reasons I left right after uni. ,cynthiadotorg,
1,2019-10-16 08:00:31+00:00,"Yes Gandhi was flawed, but he was a man whose achievement should be remembered. It's like Colston in Bristol, built half the city on the profits of slave trade, deserves a statue if only to make one think.",mbooton,
2,2019-10-12 19:12:51+00:00,"Robinson's 'Shocking history of Bristol' prepared me for this years ago. I personally wouldn't erase Colston (remove statue - yes) because his name should be synonymous with the sad sobering facts, i.e. we should be ashamed of his name #historictowns @theAliceRoberts @Channel4",irelandcj,
3,2019-10-11 12:13:18+00:00,"Penny Cartwright blogs about the Colston statue, Bristol, memorials, 'dark tourism"" and more in anticipation of our events at Festival of the Future City 16-18 October: ",FestivalofIdeas,
4,2019-10-08 15:20:36+00:00,"Bristol having a massive statue of Edward Colston, a literal slave trader, is so .... Bristol",_sashapau,
5,2019-10-07 09:27:13+00:00,Dr. Mellinger is pleased to announce times and locations for #Bristol during #FutureCity19 on 17 Oct: 10:30-12:30 College Green 13:00-15:00 Broadmead by Union St 16:00-18:00 Between war memorial and Colston statue Book at the website. @FestivalofIdeas https://citypsychiatrist.org,citypsychiatrst,
6,2019-09-27 06:13:14+00:00,This is very sad. The bear was a symbol for our time and loved in the way a Colston statue never will be. I’m concerned about blandifying Bristol in our pursuit of regeneration and blaming artists for social problems. I hope you find a fantastic new home Ursa. ,Illuminatekat,
7,2019-09-26 10:43:12+00:00,"@CllrAsherCraig @MarvinJRees when is Colston statue due for removal? Also, I would quite like one of the golden unicorns on top of the council house, will they be removed anytime soon and will they be auctioned off to the highest bidder at all?",PSaville4Mayor,
8,2019-09-26 10:20:44+00:00,Ain’t one for deleting history but it is telling that a statue of a bear is removed from Bristol before that of Slaver Colston. Cultural vandalism.,BrisCityHall,
9,2019-09-26 10:13:23+00:00,For Colston’s Statue — completely agree. ,stillawake,
10,2019-09-26 10:12:15+00:00,But the statue of slave trader Edward Colston still stands... Hmm... ,owainastles,
11,2019-09-26 10:10:49+00:00,"Colston's statue is still polluting the centre, I presume?",wood5y,
12,2019-09-16 15:43:58+00:00,Dr Mellinger is en route. Almost there. Find Dr M somewhere near the statue of Colston. Not too near... ,citypsychiatrst,
