,Datetime,Text,Username,Geolocation
0,2020-06-14 15:35:57+00:00,"Bristol democratically voted in 2017 by 57% to keep the statue of Edward Colston in it's place. Yet the police, politicians &amp; government stood by &amp; watched it ripped down &amp; thrown into the water just to appease political correctness &amp; for fear of being incorrectly labeled racist",goodyuk,
1,2020-06-14 15:32:30+00:00,"6/ Doesn't every toxic movement, in order to suck people in, start with an impossible-to-disagree-with focus before it expands? First Colston's statue was defaced, but then Churchill and Gandhi. Who next? Jefferson? Washington? Then Lincoln?",ZeeTeeAy,
2,2020-06-14 15:32:19+00:00,Have a slave-trade Abolitionist replace Colston as Bristol Statue - Sign the Petition! http://chng.it/JnPSSMX9 via @UKChange,becksybaby,
3,2020-06-14 15:32:12+00:00,It's great you're so on board now. With people like you with a big following we have a better chance of succeeding. We whites have to keep fighting for black people. I refuse to believe that toppling Colston's statue is the most we can do. #BlackLivesMatter #TakeTheKnee,Hathorsdaughter,
4,2020-06-14 15:30:36+00:00,"Bristol democratically voted in 2017 by 57% to keep the statue of Edward Colston in it's place. Yet the police, politicians &amp; government stood by &amp; watched it ripped down &amp; thrown into the water just to appease political correctness &amp; for fear of being incorrectly labelled racist",goodyuk,
5,2020-06-14 15:29:45+00:00,.@BristolLive .@GeorgeFergusonx Well worth a read to give some background and context on that statue.... why did they put up a statue to this man at that time? It was political. Good that this is now going into a museum in #Bristol! #colston #colstonstatue ,GertGertLush,
6,2020-06-14 15:29:01+00:00,The toppling of Edward Colston's statue is not an attack on history. It is history Right on ,cookiris14,
7,2020-06-14 15:25:08+00:00,The fact that slavery had already been abolished when they put Colston's statue up?,eebrah,
8,2020-06-14 15:24:53+00:00,The UK @Spectator’s arts editor celebrates a mob’s destruction of the Colston statue and thinks generally vandalism of public art is a good thing. @frasernelson why is the @spectator serving up this drivel which would probably be too hard left/anarchist even for the @guardian?,MarkHiggie1,
9,2020-06-14 15:20:30+00:00,My 30 minute walking route to the River Trent in my home city of #Nottingham takes me past these two sites which bear names of the Portland/Bentinck family &amp; their Nottinghamshire estate. #slaveryarchive #colstonstatue #BLM https://twitter.com/seymoursusanne/status/1270987055628267521,SeymourSusanne,
10,2020-06-14 15:19:06+00:00,The plaque on the Colston plinth has an amendment to its wording. Two letters make such a difference. #BlackLivesMatter #colstonstatue ,beerdiddit,
11,2020-06-14 15:17:56+00:00,#bristol 1893 society of merchant venturers a typical scene of pomp and ceremony the symbols and rituals of a class apart #EdwardColston #slavery #empire #colstonstatue ,44jinky44,
12,2020-06-14 15:15:52+00:00,This heir defends the Dundas statue; the Colston heir said (paraphrase) “yeah that guy was a bastard.” Makes me wonder if we’ll see a divergence in responses of heirs of imperialists who were bourgeois merchant class versus nobility ,mcslaven,
13,2020-06-14 15:14:41+00:00,"I cannot fathom how over 27,000 people have shared this post when it essentially boils down to, “yeah, slavery was bad and all... but everyone did it, so stop making us white British people confront our past”. #BLM #colstonstatue ",MrHarryCochrane,
14,2020-06-14 15:13:46+00:00,Was it? Because the morals at the timer Colston's statue came up said slavery was bad. The morals at the time he sold people said slavery was distasteful. Just because you would have laid morals aside for money (and just contemporaries did) doesn't mean it wasn't.,eebrah,
15,2020-06-14 15:11:37+00:00,"Now let's educate them properly on British history regarding the slave trade, and Colston's role in it, and inform them that people had been trying to get the statue removed through proper channels for years. Wonder how that would affect the polling?",davidrobbo66,
16,2020-06-14 15:10:09+00:00,I agree Colston’s statue should have gone plus anyone else directly linked to slavery but it’s the deep mining into comments made by people 100/200 years ago to discredit them which seems a bit too 1984 for me.,chris_jay_1,
17,2020-06-14 15:09:28+00:00,She’s tried to punch that statue and missed by miles.,MongKinky,
18,2020-06-14 15:08:04+00:00,"There's huge difference. Colston's statue was set up 300 yrs after death n Clive's, reviled during his lifetime, much later too. They are symbols of a particular narrative of nationhood n of whitewashing the past. But there is more at stake than statues. ",RajwinderSPal,
19,2020-06-14 15:06:07+00:00,The only unexpected fancam that deserves rights is the one of Edward Colston’s statue going plop in the water,rebeccaaa_w,
20,2020-06-14 15:05:13+00:00,"Have any war monuments actually been desecrated? The Churchill statue isn't a war monument, the Colston statue isn't a war monument. Do they get all their news from Facebook groups where pudgy lads in football shirt defend cenotaphs from nobody?",feels_grimandi,
