,Datetime,Text,Username,Geolocation
0,2020-06-09 23:58:46+00:00,"But on your point, obviously neither of us can tell what he would have thought, but he was certainly anti-slavery, and the monuments he wanted to protect, as per his legislation, were 'ancient monuments'. The Colston statue was put up in 1895.",jwsal,
1,2020-06-09 23:57:46+00:00,"Ah knife crime, the famously easy issue that can be resolved overnight... Though to be fair it took years to discuss taking down the Colston statue so hey ho.",villageorge,
2,2020-06-09 23:56:48+00:00,I would say put bigger Edward Colston's statue and erase entire junkies and black colonies from Bristol.,baran_kawa,
3,2020-06-09 23:55:11+00:00,"Having a plaque is not so straight forward. Campaigners sought for the Colston statue to be removed &amp; placed in a museum. That was rejected. Eventually a plaque was agreed. There were three iterations and 2+ years of disagreements over the wording, which led to this week’s event.",wordsbyana,
4,2020-06-09 23:54:15+00:00,Also.. as I will keep saying... having a prestigious statue of Colston is the eradication of history here. If the statue had depicted him as the shitbag he was maybe there would be a cause for not removing it. But it depicted him as a hero and that’s a lie.,GordsPars,
5,2020-06-09 23:53:16+00:00,"I liked David Olusoga’s line that..the toppling of the statue was not an attack on history. It is history. I’m slightly ashamed to admit I’d never heard of Colston, so yes it has educated me. We wouldn’t consider erecting a statue of a people trafficker today so why any fuss?",mark_macrombie,
6,2020-06-09 23:53:15+00:00,Everyone happy #Bristol #Colston #statue #idea #Banksy,hikaru_asada,
7,2020-06-09 23:52:26+00:00,"Yup, these guys tried to swim down and retrieve the several Ton statue of 17th century slave trader Edward Colston thrown into the river earlier this week during The Justice Protests in Bristol Uk. EPIC FAIL Lift with your legs, don’t want ya hurting yourself being racist. ",Terrence_STR,
8,2020-06-09 23:51:59+00:00,Yeah if there’s more race hate it’ll be their own fault right ... instead of the shitbags who think it’s acceptable to hate someone on the basis of skin colour. Colston was a slave trader. It’s right we stop eradicating history by allowing a statue that makes him out to be a hero,GordsPars,
9,2020-06-09 23:50:35+00:00,"This is a quick way to make a popular movement deeply unpopular. Colston's statue alone is a good catalyst for this discussion, but until we do the hard work of changing minds, we can't afford to haemorrage support with what will be perceived as spiteful destruction.",AeriktheUnready,
10,2020-06-09 23:50:20+00:00,"Key thing to remember is that Colston statue was put up in 1895, for reasons that still need talking about. Dredge it and put it prone in a museum, mud and barnacles and all!",davidgmwilson,
11,2020-06-09 23:49:56+00:00,FFS Daz you muppet! #Darren is the male equivalent of #Karen #KarenStrikesAgain in male form! Darren &amp; Karen (both rhyme with gammon) #KarenandDarren #KazAndDaz Beware the #Karendemic &amp; #Darrendemic virus. #BlackLivesMatter #ColstonStatue ,WarriorGoddessX,
12,2020-06-09 23:49:45+00:00,Where was the plaque next to Colston's statue explaining his crimes against humanity so people could 'learn from them'? Have you explained to your constituents that from 1833 till 2015 their tax has been paying back compensation paid TO SLAVE OWNERS when slavery ended? Apologist.,JMOWright,
13,2020-06-09 23:49:41+00:00,"Oddly all of this happens under a Conservative Govt, with a huge majority and incredibly representative composition, who seem unable to control any of the narrative. Simultaneously blamed for lack of action over Colston’s statue - stood in a city under 25 years of Lab/Lib mgt!",DRSopines,
14,2020-06-09 23:48:35+00:00,"Yes, of course it would. And it is notable that absolutely nobody has advocated desecrating Edward Colston’s grave, but idiots apparently want to draw some equivalence between Marx’s grave and the Colston statue.",patrickamon,
15,2020-06-09 23:48:35+00:00,"The statue wasn’t pulled down because of this Govt. it was pulled down because a previous Tory MP Edward Colston was involved in the mass rape, murdered and enslavement of men, women and children. https://twitter.com/bethanyusher/status/1270103944359038979?s=21",bethanyusher,
16,2020-06-09 23:47:27+00:00,Marchand d'esclaves Kit Holden La statue d'Edward Colston a volé dans l'eau. C'est donc vrai! Parce que c'était avant tout oublier l'histoire raciste de l'Angleterre.,DidiLimpuisant1,
17,2020-06-09 23:47:08+00:00,You don't need to be in favour of statues of slave owners to be opposed to their removal by mobs. Colston's statue only narrowly survived a local vote. There is every chance that post Floyd another local vote would have been to remove it.,CalderaWoodchip,
18,2020-06-09 23:46:43+00:00,I have not seen the statue of Edward Colston. Was it built and installed to commemorate his services to slavery or to something else?,NineDragons3,
19,2020-06-09 23:46:21+00:00,Interesting idea from Bristol's own Banksy about what to replace #Colston with... A statue of the statue being pulled down by protestors. https://www.instagram.com/p/CBNmTVZsDKS/?igshid=1tybi7dc5hqwl,moranicly,
20,2020-06-09 23:46:07+00:00,and ‘managed’ his charities. Colston and the other Merchant Venturers used the money gained from enslaving Africans to keep the English poor in their place. More reasons to throw the statue - paid for and raised by the Merchant Venturers - into the river.,SallyJayMorgan,
21,2020-06-09 23:45:42+00:00,"Keir, I'm a labour member. I detest violence, and it frightens me. The removal of Colston's statue was not an act of violence, it was a long overdue act of civil protest. Please be proactive in preventing the need for such protest in future.",VaDashka,
22,2020-06-09 23:45:16+00:00,The notion that destroying this statue is somehow an eradication of history is such a terrible argument. This statue’s existence was an eradication of history. It changed the narrative of Colston from ‘slave trader’ to ‘hero’. It’s purpose was to erase the truth of his evil.,GordsPars,
23,2020-06-09 23:44:39+00:00,"I'd imagine that the Colston statue — upside down, slowly corroding in a tank of sea water — would make a fine exhibit.",stibinator,
24,2020-06-09 23:44:33+00:00,Had you ever heard of Edward Colston and his involvement in the slave trade before the toppling of his statue in Bristol?,richardadalton,
25,2020-06-09 23:42:56+00:00,"Colston is still in the history books. There are still buildings etc named after him. Nothing has been ‘erased’ o shrill pearl-clutcher, but a crappy statue erected 140+ years after his death is now underwater. Nice of you to get so worked up defending a slaver though.",waitwutf,
26,2020-06-09 23:42:44+00:00,"‘Mob Rule’ ‘rampage’ ‘vandalism’ Strange words to use. I guess the suffragette movement were treated the same. This is important Ask yourself how would you feel if people pulled down a statue of Jimmy Saville ??? Edward Colston was evil, pure and simple",JaneMaunsell,
27,2020-06-09 23:42:25+00:00,That cunt drawing an equivalence between Auschwitz and the Colston statue getting dunked. That's fucking disgusting.,KarlT0,
28,2020-06-09 23:40:41+00:00,"With statues, they're usually made to commemorate someone's actions and/or past, and to legitimise their history and legacy as being (overall) positive, hence the removal of the Colston statue being 𝙮𝙚𝙖𝙧𝙨 too late. No one puts up a statue of a serial killer &amp; you know why.",ZishanRahman18,
29,2020-06-09 23:40:39+00:00,"Racism 𝗶𝘀 bad, and past figures who basically made their fortunes through racism and the slave trade, like Colston, should not be glorified, hence the removal of his statue which I am all for. But if we do not preserve 𝘴𝘰𝘮𝘦 of our history, then how do we learn from it?",ZishanRahman18,
30,2020-06-09 23:39:41+00:00,"BLM protestors took down Edward Colston’s statue 56 hours ago. Since then Belgium has taken down King Leopold II, London’s taken down Robert Milligan, Liverpool Uni will rename its halls, Plymouth will rename a square and memorials for Windrush have been planned. Protest works.",JI_ZHENG,
31,2020-06-09 23:39:16+00:00,The first value of democracy is the equality of citizens. The statue was an affront to democracy. It should never have been put up and never been allowed to stay up. Bristol is a better city because of what happened to Colston.,MichaelSprollie,
32,2020-06-09 23:37:44+00:00,The way the Colston statue sank to the bottom of the water like the way black ppl that he enslaved died is the most cathartic thing I've experienced,in_thedesert,
33,2020-06-09 23:37:28+00:00,"""Not since Oliver Cromwell, when Puritans smashed any work of art..."" Work of art? Many of these statues are #Victorian civic tat. #RhodesMustFall #colstonstatue ",Bonn1eGreer,
34,2020-06-09 23:37:22+00:00,"Victorians sure did when they built that statue 174 years after Colston died, once it became convenient to forget his brutal slaving, and remember his comparatively miniscule philanthropy. Of course, you'd know that if you did 5 mins of research instead of yelling into the abyss.",Joeisntfunny,
35,2020-06-09 23:36:32+00:00,"hi Tom, was it hysterical to remove the statue of Leopold? Or for Germany to remove statues to Nazis? Is Italy hysterical for not having any statues to Mussolini? What is it about your love of statues to individuals who don't deserve them? Many more deserving people than Colston.",numb15,
36,2020-06-09 23:35:20+00:00,A couple more photos from the moment after Colston's statue was toppled. ,KGravil,
37,2020-06-09 23:35:20+00:00,"Slavery didn't build that statue, so it's a totally moot point. The Victorians did, 174 years after Colston died in an uncritical celebration of his philanthropy. Society moves on - you'll note we don't still send kids up chimneys like they did, either.",Joeisntfunny,
38,2020-06-09 23:35:09+00:00,I stg I’ve had Good Form stuck in my head ever since I watched that video of them pushing the Colston statue into Bristol harbour,lousaysthings,
39,2020-06-09 23:34:05+00:00,No statue is better than a bad statue #Colston #milligan #rhodes,scottyb4491,
40,2020-06-09 23:33:41+00:00,Compromise solution to Edward Colston statue issue is to replace him with a statue of Edward Cullen.,LewisKernow,
41,2020-06-09 23:33:37+00:00,"""..you couldn’t miss the faint whiff of hypocrisy on both sides of the house. Almost all those who were appalled by Edward Colston being dumped in the river had cheered when the statue of Saddam Hussein had been torn down."" ",BrendanJenkin14,
42,2020-06-09 23:32:55+00:00,"Should also be noted that tearing down the statue appears to have done more to educate about Colston's history than the statue itself ever did in the last 120 years, so it also fails as being a piece of history",TheCheapFerret,
43,2020-06-09 23:32:51+00:00,"LONDON: Edward Colston statue: British protesters dismount statue of slave trader, toss it in harbor ",PAA_Asile,
44,2020-06-09 23:32:38+00:00,I think Bristol needs a proper museum to examine it's role in the global slave trade. The statue would be put to good service there. I would hope that Bristol has some other historical personage it could commemorate in that space who wasn't involved in the worst crime in history,ukoddball,
