Date,Mean Score,Median Score,Tweets,Retweets,Standard Deviation,Top 15
2020-06-15,-0.008872075672312912,0.0,562,1021,0.02988994140027538,"['statue', 'colston', 'bristol', 'edward', 'people', 'history', 'colstonstatue', 'slave', 'plinth', 'statues', 'one', 'years', 'city', 'new', 'black']"
2020-06-14,-0.012034203982573802,-0.008658008658008658,565,354,0.034734551003306045,"['statue', 'colston', 'bristol', 'edward', 'people', 'colstonstatue', 'history', 'slave', 'years', 'would', 'slavery', 'removed', 'like', 'blm', 'statues']"
2020-06-13,-0.009424312803290995,0.0,1067,1151,0.030844390550267928,"['statue', 'colston', 'bristol', 'edward', 'history', 'people', 'slave', 'colstonstatue', 'removal', 'slavery', 'years', 'statues', 'one', 'right', 'amp']"
2020-06-12,-0.007676808822328074,0.0,1696,3645,0.030839538468103098,"['statue', 'colston', 'bristol', 'edward', 'people', 'history', 'statues', 'colstonstatue', 'slave', 'years', 'like', 'removed', 'slavery', 'would', 'put']"
2020-06-11,-0.00710169892000377,0.0,2566,6843,0.031466045376075814,"['statue', 'colston', 'bristol', 'edward', 'people', 'slave', 'history', 'harbour', 'colstonstatue', 'trader', 'museum', 'statues', 'pulled', 'like', 'city']"
2020-06-10,-0.0069193915021832225,0.0,3134,7063,0.030138545730970218,"['statue', 'colston', 'bristol', 'edward', 'people', 'history', 'colstonstatue', 'slave', 'statues', 'would', 'years', 'slavery', 'removed', 'like', 'trader']"
2020-06-09,-0.008940711133495084,0.0,5673,25849,0.030929386506288428,"['statue', 'colston', 'edward', 'bristol', 'people', 'history', 'colstonstatue', 'slave', 'statues', 'trader', 'years', 'would', 'amp', 'city', 'removed']"
2020-07-20,-0.0004714966919074663,0.0,32,39,0.026913779618366617,"['statue', 'colston', 'edward', 'new', 'bristol', 'slave', 'black', 'matter', 'images', 'trader', 'sculpture', 'protester', 'jen', 'reid', 'lives']"
2020-07-19,-0.00689769127227277,0.0,65,27,0.02487996445277915,"['statue', 'colston', 'bristol', 'edward', 'black', 'quinn', 'slave', 'reid', 'trader', 'matter', 'jen', 'marc', 'lives', 'removed', 'council']"
2020-07-18,-0.00495310331205666,0.0,110,67,0.034579394564400026,"['statue', 'colston', 'bristol', 'edward', 'people', 'black', 'removed', 'slave', 'history', 'colstonstatue', 'years', 'lives', 'plinth', 'stood', 'trader']"
2020-07-17,-0.0008470757839278486,0.0,289,229,0.02790267095464773,"['statue', 'colston', 'bristol', 'edward', 'black', 'people', 'plinth', 'removed', 'blm', 'lives', 'matter', 'reid', 'jen', 'replaced', 'years']"
2020-07-16,-0.005054855701864951,0.0,2074,10700,0.03045410059592123,"['statue', 'colston', 'bristol', 'edward', 'removed', 'black', 'council', 'people', 'matter', 'reid', 'lives', 'jen', 'protester', 'years', 'blm']"
2020-07-15,0.006328067956591936,0.007936507936507936,4119,30851,0.03254236569329938,"['statue', 'colston', 'edward', 'black', 'lives', 'matter', 'protester', 'replaced', 'sculpture', 'bristol', 'reid', 'jen', 'plinth', 'blm', 'slave']"
2020-07-14,-0.006532628732387899,0.0,55,26,0.03575916388640503,"['colston', 'statue', 'bristol', 'edward', 'people', 'would', 'amp', 'colstonstatue', 'toppling', 'mayor', 'democratic', 'masks', 'torn', 'one', 'today']"
2020-07-07,-0.025969900365549036,-0.029945054945054946,6,0,0.018310009751138074,"['statue', 'colston', 'africa', 'due', 'perhaps', 'exhibit', 'law', 'shown', 'adn', 'thing', 'roots', 'asiatic', 'arriving', 'via', 'north']"
2020-07-06,-0.02019425474618596,-0.006172839506172839,65,558,0.061107862141390815,"['statue', 'colston', 'edward', 'bristol', 'black', 'people', 'statues', 'colstonstatue', 'slave', 'toppling', 'nothing', 'class', 'much', 'nhs', 'blm']"
2020-07-05,0.0006639981237316972,0.0,62,402,0.03632423567964906,"['statue', 'colston', 'bristol', 'people', 'history', 'edward', 'museum', 'one', 'colstonstatue', 'caution', 'get', 'like', 'statues', 'slave', 'man']"
2020-07-04,-0.018348411574499495,-0.013333333333333334,93,119,0.06122819939168241,"['statue', 'colston', 'edward', 'bristol', 'people', 'slave', 'police', 'river', 'amp', 'colstonstatue', 'history', 'one', 'trader', 'time', 'name']"
2020-07-03,-0.02709865850410687,-0.017142857142857144,191,5630,0.06024765201126532,"['statue', 'colston', 'bristol', 'caution', 'edward', 'via', 'colstonstatue', 'amp', 'police', 'set', 'slave', 'escape', 'man', 'protestors', 'protestor']"
2020-07-02,-0.02737075059474709,-0.023529411764705882,247,773,0.04079777692445992,"['statue', 'colston', 'edward', 'bristol', 'man', 'arrested', 'toppling', 'criminal', 'damage', 'people', 'colstonstatue', 'police', 'slave', 'caution', 'get']"
2020-07-01,-0.04991850484251578,-0.05,285,2607,0.048646186410275696,"['statue', 'colston', 'edward', 'man', 'arrested', 'bristol', 'criminal', 'toppling', 'damage', 'news', 'protests', 'arrest', 'held', 'bbc', 'slave']"
2020-06-06,-0.011404798520500952,0.0,19,10,0.023426537796719757,"['statue', 'bristol', 'colston', 'edward', 'city', 'centre', 'petition', 'slave', 'sign', 'via', 'ukchange', 'remove', 'museum', 'history', 'like']"
2020-06-05,-0.006715063494364859,-0.01325433399166118,10,4,0.029123189202877993,"['statue', 'colston', 'slave', 'bristol', 'trader', 'city', 'remove', 'edward', 'time', 'past', 'history', 'people', 'blacklivesmatter', 'always', 'bristolian']"
2020-06-04,-0.008411396724945777,0.0,9,9,0.028499918888283824,"['colston', 'statue', 'bristol', 'slave', 'edward', 'trader', 'city', 'shame', 'name', 'think', 'still', 'responsible', 'taken', 'centre', 'sign']"
