Topic,Term,Value
0,bill ,0.006
0,input , 0.005
0,summer , 0.005
0,touch , 0.004
0,lori , 0.004
0,country , 0.004
0,strike , 0.004
0,integration , 0.004
0,cannon , 0.004
0,hope , 0.004
0,trial , 0.004
0,naacpmpls , 0.004
0,dalla , 0.004
0,tourist , 0.004
0,gravestone , 0.004
0,crow , 0.004
0,round , 0.003
0,btw , 0.003
0,throw , 0.003
0,howitzer, 0.003
1,hitler ,0.005
1,truth , 0.005
1,etc , 0.005
1,integration , 0.005
1,photographer , 0.004
1,want , 0.004
1,describe , 0.004
1,supervisor , 0.004
1,intersection , 0.004
1,dedication , 0.004
1,form , 0.004
1,education , 0.004
1,attack , 0.004
1,mayororder , 0.004
1,integral , 0.004
1,notice , 0.003
1,estimate , 0.003
1,harvey , 0.003
1,artwork , 0.003
1,expect, 0.003
2,mind ,0.005
2,gentleman , 0.005
2,sherry , 0.004
2,defense , 0.004
2,crop , 0.004
2,center , 0.004
2,spirit , 0.004
2,nut , 0.004
2,fraser , 0.003
2,mess , 0.003
2,start , 0.003
2,substitute , 0.003
2,pkwy , 0.003
2,tax , 0.003
2,bobby , 0.003
2,jacksonsaidcat , 0.003
2,request , 0.003
2,fugue , 0.003
2,deal , 0.003
2,jenna, 0.003
3,head ,0.005
3,couple , 0.005
3,wink , 0.004
3,tearthemdown , 0.004
3,ditchmitch , 0.004
3,family , 0.004
3,madison , 0.004
3,shot , 0.004
3,summer , 0.004
3,maggie , 0.004
3,dedication , 0.004
3,achievement , 0.003
3,voting , 0.003
3,regiment , 0.003
3,etc , 0.003
3,prizzi , 0.003
3,raquet , 0.003
3,combat , 0.003
3,take , 0.003
3,c_mitzel, 0.003
4,governor ,0.006
4,jeff , 0.005
4,hinkle , 0.004
4,plan , 0.004
4,pedestal , 0.004
4,stonewall , 0.004
4,crop , 0.004
4,courage , 0.004
4,acknowledgement , 0.003
4,hotel , 0.003
4,highway , 0.003
4,bill , 0.003
4,forrest , 0.003
4,teddy , 0.003
4,living , 0.003
4,victim , 0.003
4,didnsee , 0.003
4,perlman , 0.003
4,work , 0.003
4,colin, 0.003
5,statue ,0.009
5,stonewall , 0.007
5,jackson , 0.006
5,loyalty , 0.005
5,yesterday , 0.005
5,enemy , 0.004
5,realdonaldtrump , 0.004
5,potus , 0.004
5,jack , 0.004
5,heap , 0.004
5,supportinge , 0.004
5,nutcase , 0.003
5,pelosiisaphony , 0.003
5,speaking , 0.003
5,jumanji , 0.003
5,flashback , 0.003
5,period , 0.003
5,luther , 0.003
5,capita , 0.003
5,supervisor, 0.003
6,tonight ,0.005
6,confederacy , 0.004
6,event , 0.004
6,the , 0.004
6,alumni , 0.004
6,mural , 0.004
6,virginian , 0.004
6,community , 0.004
6,abolitionist , 0.003
6,honor , 0.003
6,trip , 0.003
6,granddaughter , 0.003
6,number , 0.003
6,republican , 0.003
6,wvcapitol , 0.003
6,isuggesting , 0.003
6,roosevelt , 0.003
6,irl , 0.003
6,sudley , 0.003
6,dmv, 0.003
7,metronews ,0.005
7,boot , 0.005
7,mind , 0.005
7,negro , 0.004
7,pocket , 0.004
7,alt , 0.004
7,action , 0.004
7,flaw , 0.004
7,therestonewall , 0.004
7,repeat , 0.004
7,responsibility , 0.004
7,dixieprole , 0.003
7,san , 0.003
7,upkeep , 0.003
7,sweatpant , 0.003
7,colonel , 0.003
7,swint , 0.003
7,act , 0.003
7,grant , 0.003
7,ditchmitch, 0.003
8,step ,0.004
8,gordon , 0.004
8,worship , 0.004
8,columbus , 0.004
8,heart , 0.004
8,southerner , 0.004
8,perlman , 0.004
8,car , 0.004
8,gatherinlove , 0.003
8,cap , 0.003
8,gon , 0.003
8,breitbartnews , 0.003
8,anybody , 0.003
8,vance , 0.003
8,reminder , 0.003
8,display , 0.003
8,truck , 0.003
8,society , 0.003
8,world , 0.003
8,joebiden, 0.003
9,statehouse ,0.005
9,estate , 0.005
9,jessica , 0.005
9,buck , 0.004
9,address , 0.004
9,soquelcreek , 0.004
9,monument , 0.004
9,albert , 0.004
9,wonder , 0.003
9,institution , 0.003
9,segregationist , 0.003
9,hope , 0.003
9,town , 0.003
9,bed , 0.003
9,evidence , 0.003
9,wva , 0.003
9,land , 0.003
9,shirley , 0.003
9,byrd , 0.003
9,class, 0.003
10,marcher ,0.007
10,yea , 0.005
10,maury , 0.004
10,ship , 0.004
10,college , 0.004
10,reminder , 0.004
10,presssec , 0.004
10,sense , 0.003
10,burn , 0.003
10,gandhi , 0.003
10,hope , 0.003
10,baltimoreracist , 0.003
10,king , 0.003
10,demand , 0.003
10,tootie , 0.003
10,host , 0.003
10,senate , 0.003
10,heplaying , 0.003
10,car , 0.003
10,horse, 0.003
11,career ,0.005
11,everyone , 0.004
11,billionaire , 0.004
11,holocaust , 0.004
11,horse , 0.004
11,hometown , 0.004
11,saratoga , 0.004
11,visit , 0.004
11,thank , 0.004
11,pedestal , 0.003
11,jones , 0.003
11,city , 0.003
11,treason , 0.003
11,thatinteresting , 0.003
11,dam , 0.003
11,auto , 0.003
11,vmi , 0.003
11,branson , 0.003
11,naacpmpls , 0.003
11,resentment, 0.003
12,pic ,0.005
