Topic,Term,Value
0,"b'""protest"" '",0.086
0,"b'""whose"" '", 0.058
0,"b'""genoa"" '", 0.031
0,"b'""send"" '", 0.031
0,"b'""near"" '", 0.031
0,"b'""rip"" '", 0.031
0,"b'""chris"" '", 0.031
0,"b'""nytimes"" '", 0.031
0,"b'""news"" '", 0.031
0,"b'""prov""'", 0.031
1,"b'""completely"" '",0.027
1,"b'""cnn"" '", 0.027
1,"b'""hate"" '", 0.027
1,"b'""elderly"" '", 0.027
1,"b'""goon"" '", 0.027
1,"b'""change"" '", 0.027
1,"b'""whether"" '", 0.027
1,"b'""upriseri"" '", 0.027
1,"b'""wapo"" '", 0.027
1,"b'""thehill""'", 0.027
2,"b'""removal"" '",0.069
2,"b'""way"" '", 0.047
2,"b'""removed"" '", 0.047
2,"b'""fame"" '", 0.024
2,"b'""relocate"" '", 0.024
2,"b'""granahan"" '", 0.024
2,"b'""public"" '", 0.024
2,"b'""process"" '", 0.024
2,"b'""newsom"" '", 0.024
2,"b'""suri""'", 0.024
3,"b'""statue"" '",0.348
3,"b'""city"" '", 0.038
3,"b'""arduous"" '", 0.020
3,"b'""smart"" '", 0.020
3,"b'""patriot"" '", 0.020
3,"b'""drudge"" '", 0.020
3,"b'""out"" '", 0.020
3,"b'""tatum"" '", 0.020
3,"b'""tore"" '", 0.020
3,"b'""easton""'", 0.020
4,"b'""connecticut"" '",0.048
4,"b'""dailykos"" '", 0.025
4,"b'""downtown"" '", 0.025
4,"b'""club"" '", 0.025
4,"b'""flying"" '", 0.025
4,"b'""passive"" '", 0.025
4,"b'""safety"" '", 0.025
4,"b'""share"" '", 0.025
4,"b'""tara"" '", 0.025
4,"b'""part""'", 0.025
5,"b'""got"" '",0.055
5,"b'""hey"" '", 0.029
5,"b'""reaction"" '", 0.029
5,"b'""taking"" '", 0.029
5,"b'""instead"" '", 0.029
5,"b'""bus"" '", 0.029
5,"b'""rosa"" '", 0.029
5,"b'""petition"" '", 0.029
5,"b'""cbs"" '", 0.029
5,"b'""genocide""'", 0.029
6,"b'""philadelphia"" '",0.100
6,"b'""take"" '", 0.081
6,"b'""history"" '", 0.041
6,"b'""california"" '", 0.041
6,"b'""would"" '", 0.022
6,"b'""give"" '", 0.022
6,"b'""white"" '", 0.022
6,"b'""fuck"" '", 0.022
6,"b'""must"" '", 0.022
6,"b'""express""'", 0.022
7,"b'""remove"" '",0.078
7,"b'""taken"" '", 0.053
7,"b'""back"" '", 0.053
7,"b'""want"" '", 0.053
7,"b'""gop"" '", 0.053
7,"b'""voice"" '", 0.053
7,"b'""demonstrator"" '", 0.028
7,"b'""remain"" '", 0.028
7,"b'""rioter"" '", 0.028
7,"b'""notice""'", 0.028
8,"b'""columbus"" '",0.330
8,"b'""christopher"" '", 0.080
8,"b'""man"" '", 0.064
8,"b'""could"" '", 0.017
8,"b'""politico"" '", 0.017
8,"b'""whats"" '", 0.017
8,"b'""funny"" '", 0.017
8,"b'""lol"" '", 0.017
8,"b'""overblowa"" '", 0.017
8,"b'""talk""'", 0.017
9,"b'""parsippany"" '",0.057
9,"b'""decides"" '", 0.030
9,"b'""much"" '", 0.030
9,"b'""ask"" '", 0.030
9,"b'""wpro"" '", 0.030
9,"b'""plantation"" '", 0.030
9,"b'""jorge_elorza"" '", 0.030
9,"b'""put"" '", 0.030
9,"b'""amp"" '", 0.030
9,"b'""host""'", 0.030
