Model,Score
"LdaModel(num_terms=20, num_topics=1, decay=0.5, chunksize=2000)",-24.635288842374557
"LdaModel(num_terms=20, num_topics=2, decay=0.5, chunksize=2000)",-24.635288842374557
"LdaModel(num_terms=20, num_topics=3, decay=0.5, chunksize=2000)",-24.635288842374553
"LdaModel(num_terms=20, num_topics=4, decay=0.5, chunksize=2000)",-24.635288842374557
"LdaModel(num_terms=20, num_topics=5, decay=0.5, chunksize=2000)",-24.635288842374557
"LdaModel(num_terms=20, num_topics=6, decay=0.5, chunksize=2000)",-24.63528884237456
"LdaModel(num_terms=20, num_topics=7, decay=0.5, chunksize=2000)",-24.63528884237456
"LdaModel(num_terms=20, num_topics=8, decay=0.5, chunksize=2000)",-24.635288842374557
"LdaModel(num_terms=20, num_topics=9, decay=0.5, chunksize=2000)",-24.635288842374557
"LdaModel(num_terms=20, num_topics=10, decay=0.5, chunksize=2000)",-24.635288842374557
"LdaModel(num_terms=20, num_topics=11, decay=0.5, chunksize=2000)",-24.63528884237456
"LdaModel(num_terms=20, num_topics=12, decay=0.5, chunksize=2000)",-24.63528884237456
"LdaModel(num_terms=20, num_topics=13, decay=0.5, chunksize=2000)",-24.63528884237456
"LdaModel(num_terms=20, num_topics=14, decay=0.5, chunksize=2000)",-24.63528884237456
"LdaModel(num_terms=20, num_topics=15, decay=0.5, chunksize=2000)",-24.63528884237456
"LdaModel(num_terms=20, num_topics=16, decay=0.5, chunksize=2000)",-24.635288842374557
"LdaModel(num_terms=20, num_topics=17, decay=0.5, chunksize=2000)",-24.635288842374557
"LdaModel(num_terms=20, num_topics=18, decay=0.5, chunksize=2000)",-24.635288842374557
"LdaModel(num_terms=20, num_topics=19, decay=0.5, chunksize=2000)",-24.635288842374557
